time_elapsed,alpha,beta,rho,eta,gamma,success,cost,rmse_w,rmse_iv,mae_iv,n_obs,n_left_put_otm,n_right_call_otm,n_atm,flag_unbalanced_smile,message,tte_min,tte_max,moneyness_min,moneyness_max
227,,,,,,False,,,,,0,0,0,0,True,Only 89 obs for 227 after cleaning — need >= 100.,,,,
228,,,,,,False,,,,,0,0,0,0,True,Only 89 obs for 228 after cleaning — need >= 100.,,,,
231,,,,,,False,,,,,0,0,0,0,True,Only 94 obs for 231 after cleaning — need >= 100.,,,,
232,,,,,,False,,,,,0,0,0,0,True,Only 81 obs for 232 after cleaning — need >= 100.,,,,
233,,,,,,False,,,,,0,0,0,0,True,Only 84 obs for 233 after cleaning — need >= 100.,,,,
234,,,,,,False,,,,,0,0,0,0,True,Only 78 obs for 234 after cleaning — need >= 100.,,,,
235,,,,,,False,,,,,0,0,0,0,True,Only 89 obs for 235 after cleaning — need >= 100.,,,,
238,,,,,,False,,,,,0,0,0,0,True,Only 76 obs for 238 after cleaning — need >= 100.,,,,
239,,,,,,False,,,,,0,0,0,0,True,Only 79 obs for 239 after cleaning — need >= 100.,,,,
240,,,,,,False,,,,,0,0,0,0,True,Only 99 obs for 240 after cleaning — need >= 100.,,,,
241,-2.66604418100541,1.1029019766887511,-0.7031778844769365,1.1565601136052424,0.4395419672629202,True,5.853746380025756e-05,0.0010429912054780457,0.007077415292255749,0.004471879327208263,103,0,89,14,True,`ftol` termination condition is satisfied.,0.1178082191780822,2.304109589041096,0.0111548265210234,0.1964659351229558
242,-2.719493213307557,1.121766520799462,-0.7205024137648589,0.9907318090349498,0.4792360828331187,True,0.00017351135225700514,0.0016248514158870803,0.008456519666562495,0.0053501832567513135,114,0,86,28,True,`ftol` termination condition is satisfied.,0.1150684931506849,2.3013698630136985,-0.0009088327284226,0.1966305122462689
246,-2.6727845184374868,1.1004435964627601,-0.7090097364299983,1.1301370505066073,0.44011441515472255,True,3.8885354718192514e-05,0.0008298583274170164,0.0057967839115905745,0.0036928658135090696,103,0,89,14,True,`ftol` termination condition is satisfied.,0.1041095890410958,2.290410958904109,0.0086292077862845,0.1966032843686158
247,-2.6903733770036298,1.1082621894967744,-0.6893727045854642,1.123947862985603,0.46365235703513075,True,4.449869669281281e-05,0.0009015123028794584,0.006195864363475278,0.003911456173084647,109,0,85,24,True,`ftol` termination condition is satisfied.,0.1013698630136986,2.287671232876712,0.0015923444588472,0.1999941919928359
248,-2.71695555254082,1.1087580183176726,-0.6958789438573242,1.2361527328366544,0.419018359308144,True,4.206076929432056e-05,0.000856345700273422,0.006374774370298083,0.0038776956581018096,112,0,86,26,True,`ftol` termination condition is satisfied.,0.0986301369863013,2.2849315068493152,-0.0016805771970572,0.1976470290856732
